1010 TERON,1867,WH430,45.327938,-75.897675,0
1090 AMBLESIDE,2475,NJ070,45.372837,-75.780327,0
1145 HUNT CLUB,8441,RF470,45.351315,-75.652313,0
1237 DUNNING RD,6582,EZ547,45.511074,-75.401695,0
1240 DUNNING RD,6581,EZ554,45.510956,-75.401863,0
1305 BASELINE,4001,SB100,45.364086,-75.733871,0
1305 BASELINE,4046,SB110,45.363956,-75.733551,0
1500 BRONSON,4091,RA440,45.379562,-75.685951,0
1500 BRONSON,5626,RA450,45.379864,-75.685417,0
1558 MERIVALE,4494,SB290,45.353058,-75.734924,0
1692 DUNNING,3234,EZ010,45.496658,-75.393639,0
1695 DUNNING,3235,EZ012,45.496731,-75.393417,0
1755 MERIVALE,4492,SB300,45.353275,-75.734734,0
1805 WOODWARD,7496,NG440,45.369564,-75.751823,0
1806 WOODWARD,4903,NG430,45.369553,-75.751617,0
1929 QUEENSDALE,6597,RH141,45.351753,-75.615387,0
1951 ROBERTSON,936,WF420,45.325577,-75.824821,0
1966 ROBERTSON,933,WF430,45.325291,-75.825081,0
2405 ROBERTSON,5376,WI370,45.315514,-75.849228,0
2405 ROBERTSON,5385,WI380,45.31535,-75.849052,0
2591 QUEENSVIEW,4000,WC515,45.355049,-75.783478,0
2600 QUEENSVIEW,2395,WC510,45.355091,-75.783119,0
2625 SHEFFIELD,6593,AL625,45.404621,-75.606255,0
2630 SHEFFIELD,6594,AL620,45.404652,-75.606476,0
2655 QUEENSVIEW,5231,WC520,45.353596,-75.786049,0
2670 QUEENSVIEW,2384,WC500,45.353283,-75.786354,0
2775 ROBERTSON,5383,WI415,45.308773,-75.86541,0
2775 ROBERTSON,5387,WI425,45.308647,-75.865204,0
2839 ROBERTSON,2013,WI430,45.306812,-75.870178,0
2839 ROBERTSON,2014,WI435,45.306686,-75.870071,0
2881 RICHMOND,6439,WD160,45.355274,-75.797005,0
300 DES PÈRES BLANCS,7040,AB200,45.444321,-75.660179,0
303 TERRY FOX,1463,WM402,45.349155,-75.905342,0
303 TERRY FOX,1558,WM404,45.3493,-75.905251,0
329 MARCH,7986,WH350,45.335739,-75.908211,0
339 WEST HUNT CLUB,1320,SD818,45.339802,-75.712738,0
340 WEST HUNT CLUB,1319,SD815,45.339577,-75.712509,0
3585 SARSFIELD,3721,ER660,45.440174,-75.34269,0
359 TERRY FOX,7997,WM385,45.350945,-75.9179,0
359 TERRY FOX,1513,WM386,45.351025,-75.918091,0
360 COVENTRY,7118,AD20,45.421421,-75.647888,0
360 MARCH,7984,WH340,45.336227,-75.908371,0
3636 INNES,8129,EJ470,45.448578,-75.522362,0
40 HINES,1174,WM435,45.343349,-75.921104,0
4000 INNOVATION,1182,WM475,45.342194,-75.930283,0
4048 CARLING,1779,WH319,45.337967,-75.907646,0
4055 CARLING,1749,WH318,45.338123,-75.907967,0
412 RIVER,3232,RR657,45.299759,-75.694603,0
412 RIVER,3233,RR659,45.299774,-75.694809,0
4120 RIVERSIDE,2154,RR300,45.329395,-75.693794,0
4120 RIVERSIDE,2155,RR310,45.329319,-75.694054,0
43 AURIGA,6091,SD645,45.330151,-75.706055,0
436 HAZELDEAN,6253,WI495,45.300919,-75.884109,0
436 HAZELDEAN,6161,WI500,45.300816,-75.883949,0
4509 INNES - MÉTRO,1712,EO612,45.461735,-75.485207,0
4510 INNES - MÉTRO,1729,EO610,45.46143,-75.485649,0
454 VIEWMOUNT,6055,SC510,45.353561,-75.709328,0
454 VIEWMOUNT,6059,SC520,45.353558,-75.70919,0
46 AURIGA,6093,SD635,45.330223,-75.706131,0
4898 PIPERVILLE,8511,RZ339,45.347599,-75.511131,0
4909 PIPPERVILLE,8510,RZ342,45.347622,-75.511551,0
4992 PIPERVILLE,1811,RZ338,45.348644,-75.508507,0
4995 PIPERVILLE,1810,RZ337,45.34877,-75.508575,0
518 DONALD B MUNRO,1623,WZ220,45.344242,-76.042786,0
5554 PIPERVILLE,1842,RZ327,45.356464,-75.48912,0
5554 PIPERVILLE,1843,RZ328,45.356339,-75.489021,0
5661 HAZELDEAN,1154,WS012,45.284859,-75.909271,0
5664 HAZELDEAN,1155,WS013,45.285206,-75.908424,0
5866 PIPERVILLE,1848,RZ316,45.362469,-75.473236,0
5873 PIPERVILLE,1844,RZ317,45.362598,-75.473351,0
6501 CAMPEAU,5370,WH891,45.31509,-75.910759,0
6501 CAMPEAU,5366,WH892,45.314945,-75.911217,0
66 IBER,1648,WS894,45.278877,-75.90686,0
67 IBER,1669,WS896,45.278984,-75.906685,0
6785 FRANKTOWN,1067,WR527,45.174591,-75.869698,0
6785 FRANKTOWN,1068,WR529,45.17448,-75.86956,0
695 INDUSTRIAL,1714,AE370,45.410789,-75.640694,0
70 MCEWEN,2338,NJ020,45.371967,-75.782677,0
70 MCEWEN,6248,NJ030,45.371456,-75.782631,0
700 INDUSTRIAL,1715,AE375,45.410725,-75.64106,0
7000 CAMPEAU,1269,WH897,45.314003,-75.91526,0
7000 CAMPEAU,1270,WH898,45.313881,-75.91523,0
760 EAGLESON (SUPERSTORE),2064,WK018,45.284374,-75.866112,0
770 CYCLONE TAYLOR,1109,WL015,45.297539,-75.921738,0
770 CYCLONE TAYLOR,1110,WL017,45.297493,-75.921928,0
830 INDUSTRIAL,8546,AE335,45.407219,-75.632545,0
831 INDUSTRIAL,7137,AE325,45.408077,-75.633209,0
8TH LINE AND BYRON,6987,RY110,45.233822,-75.471825,0
8TH LINE AND ELDO,1070,RY102,45.23098,-75.470322,0
8TH LINE AND ELDO,1047,RY103,45.231285,-75.470261,0
8TH LINE AND RUSSELL,6984,RY100,45.22987,-75.469727,0
8TH LINE AND RUSSELL,6985,RY101,45.229904,-75.469574,0
8TH LINE AND UNITED,6986,RY111,45.233864,-75.471634,0
ABBEYHILL AND AY JACKSON HS,6941,WJ630,45.295311,-75.881226,0
ABBEYHILL AND AY JACKSON HS,572,WJ659,45.295856,-75.880615,0
ABBEYHILL AND BANNING,1932,WJ650,45.297127,-75.879768,0
ABBEYHILL AND HAZELDEAN MALL,884,WJ670,45.299797,-75.87719,0
ABBEYHILL AND OLD COLONY,5432,WJ660,45.29686,-75.87986,0
ABBOT AND MOSS HILL,1210,WS185,45.264198,-75.911575,0
ABBOTT AND AMY,2203,WS840,45.266933,-75.907494,0
ABBOTT AND AMY,2204,WS845,45.26683,-75.907372,0
ABBOTT AND CARBERY,2198,WS810,45.2617,-75.915817,0
ABBOTT AND CARBERY,891,WS815,45.26162,-75.915703,0
ABBOTT AND GRANITE RIDGE,2206,WS855,45.268082,-75.905281,0
ABBOTT AND GRANITE RIDGE,1593,WS857,45.268585,-75.904808,0
ABBOTT AND IBER,1626,WS858,45.272106,-75.899139,0
ABBOTT AND IBER,1646,WS859,45.271996,-75.899002,0
ABBOTT AND MOSS HILL,2199,WS820,45.264111,-75.911972,0
ABBOTT AND SHEA,2200,WS825,45.265511,-75.909462,0
ABBOTT AND SHEA,1128,WS831,45.266014,-75.908981,0
ABBOTT AND STITTSVILLE MAIN,2196,WS800,45.25872,-75.920654,0
ABBOTT AND STITTSVILLE MAIN,2197,WS805,45.258835,-75.92012,0
ABBOTT POINT OF CARE AND MOODIE,1378,WG600,45.345428,-75.841476,0
ABBOTT POINT OF CARE AND MOODIE,1379,WG610,45.345341,-75.841362,0
ACACIA AND RIDEAU,7026,AA410,45.444561,-75.672432,0
ACRES AND RICHMOND,2869,WD558,45.342945,-75.808502,0
ADIRAL AND ANNA,7467,NF210,45.382633,-75.729088,0
ADIRAL AND ANNA,7465,NF220,45.382809,-75.729454,0
ADIRAL AND CRERAR,2427,NF230,45.384754,-75.729698,0
ADIRAL AND CRERAR,7466,NF240,45.384583,-75.729805,0
ADIRAL AND SHILLINGTON,8093,NF140,45.381325,-75.728218,0
AGES AND HAWTHORNE,4337,RI482,45.385616,-75.60482,0
AGES AND HAWTHORNE,3637,RI483,45.385654,-75.604233,0
AGES AND LEGACY,3636,RI481,45.385216,-75.605347,0
AGES AND LEGACY,4338,RI484,45.384491,-75.608437,0
AGES AND LEGACY,3635,RI488,45.384373,-75.609093,0
AGES AND SWANSEA,4339,RI485,45.380753,-75.614815,0
AGES AND SWANSEA,4340,RI487,45.383385,-75.613182,0
AGES AND SWANSEA,3634,RI490,45.38414,-75.610794,0
AGRI-FOOD CANAD,WA081,WA081,45.284187,-75.767387,0
AIRPORT AND AIRBUS PRIVATE,8366,RE420,45.324181,-75.661446,0
AIRPORT AND UPLANDS,6144,RE410,45.328705,-75.654045,0
AIRPORT AND UPLANDS,1549,RE415,45.329487,-75.653915,0
AIRPORT STOP,3039,RE900,45.322231,-75.665871,0
AIRPORTAND AIR CANAD CARGO,3066,RE430,45.323677,-75.663033,0
ALBERT AND BANK,3002,CB910,45.420422,-75.699501,0
ALBERT AND BAY,3004,CA930,45.417103,-75.707077,0
ALBERT AND EMPRESS,2392,CJ075,45.413589,-75.711189,0
ALBERT AND KENT,3003,CA920,45.418812,-75.703209,0
ALBERT AND METCALFE,3001,CB900,45.421814,-75.69619,0
ALBERT AND PRESTON,5684,CJ086,45.411572,-75.715591,0
ALBERT AND PRESTON,6659,CJ090,45.411205,-75.716751,0
ALBION AND BRAMPTON,4260,RG050,45.348541,-75.640038,0
